fibrosis_type,fiber_angle_deg,density,seed,atpi,final_time_ms
compact,0,0.35,78286,2.0,0.0
compact,0,0.35,45588,2.0,0.0
compact,0,0.35,31886,2.0,0.0
compact,0,0.35,4383,2.0,0.0
compact,0,0.35,33200,2.0,0.0
compact,0,0.35,65344,2.0,0.0
compact,0,0.35,61010,2.0,0.0
compact,0,0.35,47678,2.0,0.0
compact,0,0.35,66684,2.0,0.0
compact,0,0.35,76232,2.0,0.0
compact,0,0.35,26255,2.0,0.0
compact,0,0.35,73096,2.0,0.0
compact,0,0.35,43438,2.0,0.0
compact,0,0.35,5098,2.0,0.0
compact,0,0.35,16858,2.0,0.0
compact,0,0.35,31828,2.0,0.0
compact,0,0.35,18561,2.0,0.0
compact,0,0.35,37106,2.0,0.0
compact,0,0.35,95865,2.0,0.0
compact,0,0.35,6797,2.0,0.0
compact,0,0.35,85634,2.0,0.0
compact,0,0.35,3677,2.0,0.0
compact,0,0.35,94215,2.0,0.0
compact,0,0.35,67389,2.0,0.0
compact,0,0.35,58477,2.0,0.0
compact,0,0.35,41169,2.0,0.0
compact,0,0.35,44373,2.0,0.0
compact,0,0.35,13391,2.0,0.0
compact,0,0.35,13265,2.0,0.0
compact,0,0.35,92885,2.0,0.0
compact,0,0.35,56788,2.0,0.0
compact,0,0.35,44442,2.0,0.0
compact,0,0.35,29545,2.0,0.0
compact,0,0.35,4443,2.0,0.0
compact,0,0.35,39454,2.0,0.0
compact,0,0.35,10608,2.0,0.0
compact,0,0.35,86974,2.0,0.0
compact,0,0.35,83746,2.0,0.0
compact,0,0.35,86361,2.0,0.0
compact,0,0.35,42449,2.0,0.0
compact,0,0.35,253,2.0,0.0
compact,0,0.35,94754,2.0,0.0
compact,0,0.35,91205,2.0,0.0
compact,0,0.35,59127,2.0,0.0
compact,0,0.35,78940,2.0,0.0
compact,0,0.35,68847,2.0,0.0
compact,0,0.35,55604,2.0,0.0
compact,0,0.35,99258,2.0,0.0
compact,0,0.35,44717,2.0,0.0
compact,0,0.35,85405,2.0,0.0
compact,0,0.35,15192,2.0,0.0
