fibrosis_type,fiber_angle_deg,density,seed,atpi,final_time_ms
diffuse,0,0.1,3320004656,2.0,0.0
patchy,0,0.1,4471704284,2.0,0.0
interstitial,0,0.1,3061515680,2.0,0.0
compact,0,0.1,5560485340,2.0,0.0
patchy,0,0.1,1519198587,2.0,0.0
diffuse,0,0.1,6101075833,2.0,0.0
interstitial,0,0.1,5244768376,2.0,0.0
patchy,0,0.1,5709837683,2.0,0.0
interstitial,0,0.1,1893379961,2.0,0.0
compact,0,0.1,4471704284,2.0,0.0
diffuse,0,0.1,6668470416,2.0,0.0
patchy,0,0.1,6160401757,2.0,0.0
interstitial,0,0.1,1152363306,2.0,0.0
compact,0,0.1,1519198587,2.0,0.0
interstitial,0,0.1,8482922795,2.0,0.0
diffuse,0,0.1,2625501404,2.0,0.0
patchy,0,0.1,3061515680,2.0,0.0
interstitial,0,0.1,9882397830,2.0,0.0
patchy,0,0.1,5244768376,2.0,0.0
compact,0,0.1,5709837683,2.0,0.0
diffuse,0,0.1,4343857888,2.0,0.0
interstitial,0,0.1,9586683249,2.0,0.0
patchy,0,0.1,1893379961,2.0,0.0
compact,0,0.1,6160401757,2.0,0.0
diffuse,0,0.1,1685771831,2.0,0.0
interstitial,0,0.1,3729556780,2.0,0.0
patchy,0,0.1,1152363306,2.0,0.0
interstitial,0,0.1,381363842,2.0,0.0
compact,0,0.1,3061515680,2.0,0.0
patchy,0,0.1,8482922795,2.0,0.0
diffuse,0,0.1,1856097065,2.0,0.0
interstitial,0,0.1,9625808203,2.0,0.0
patchy,0,0.1,9882397830,2.0,0.0
compact,0,0.1,5244768376,2.0,0.0
diffuse,0,0.1,9586652161,2.0,0.0
interstitial,0,0.1,8241580884,2.0,0.0
patchy,0,0.1,9586683249,2.0,0.0
compact,0,0.1,1893379961,2.0,0.0
diffuse,0,0.1,8563501408,2.0,0.0
interstitial,0,0.1,3753566142,2.0,0.0
patchy,0,0.1,3729556780,2.0,0.0
compact,0,0.1,1152363306,2.0,0.0
interstitial,0,0.1,1806742986,2.0,0.0
diffuse,0,0.1,9421603667,2.0,0.0
